id,texto,intent,original,template,is_kid_optimized
kid_jugar_32677,jugar con bloques,JUGAR,jugar con bloques,jugar con {juguete},True
kid_despedir_21277,este este adiós abuela,DESPEDIR,este este adiós abuela,adiós {persona},True
kid_jugar_6206,juego con bicicleta bicicleta,JUGAR,juego con bicicleta bicicleta,juego con {juguete},True
kid_jugar_3901,quiero jugar,JUGAR,quiero jugar,quiero jugar,True
kid_expresar_necesidad_30068,tengo ganas de cantar,EXPRESAR_NECESIDAD,tengo ganas de cantar,tengo ganas de {accion},True
kid_despedir_11943,hasta luego,DESPEDIR,hasta luego,hasta luego,True
kid_saludar_35691,buenas tardes,SALUDAR,buenas tardes,buenas tardes,True
kid_pedir_ayuda_5224,ayúdame,PEDIR_AYUDA,ayúdame,ayúdame,True
kid_expresar_emocion_5007,bueno estoy estoy muy feliz,EXPRESAR_EMOCION,bueno estoy estoy muy feliz,estoy muy {emocion},True
kid_jugar_36961,mm quiero jugar,JUGAR,mm quiero jugar,quiero jugar,True
kid_ir_lugar_19204,donde está plaza,IR_LUGAR,donde está plaza,donde está {lugar},True
kid_jugar_25277,juguemos rayuela,JUGAR,juguemos rayuela,juguemos {juego},True
kid_jugar_21400,vamos a jugar,JUGAR,vamos a jugar,vamos a jugar,True
kid_ir_lugar_13507,al escuela,IR_LUGAR,al escuela,al {lugar},True
kid_jugar_4187,este jugamos,JUGAR,este jugamos,jugamos,True
kid_expresar_necesidad_20351,donde está comida,EXPRESAR_NECESIDAD,donde está comida,donde está {objeto},True
kid_comer_beber_14167,más campana extractora,COMER_BEBER,más campana extractora,más {comida},True
kid_pedir_ayuda_38424,necesito ayuda,PEDIR_AYUDA,necesito ayuda,necesito ayuda,True
kid_comer_beber_26603,quiero agua,COMER_BEBER,quiero agua,quiero agua,True
kid_pedir_ayuda_10406,ayuda,PEDIR_AYUDA,ayuda,ayuda,True
kid_saludar_31669,hola,SALUDAR,hola,hola,True
kid_despedir_11413,hasta luego,DESPEDIR,hasta luego,hasta luego,True
kid_expresar_emocion_9310,estoy feliz cumpleaños,EXPRESAR_EMOCION,estoy feliz cumpleaños,estoy {emocion},True
kid_comer_beber_28021,tengo sed,COMER_BEBER,tengo sed,tengo sed,True
kid_expresar_emocion_15422,mm hoy estoy estoy feliz,EXPRESAR_EMOCION,mm hoy estoy estoy feliz,hoy estoy {emocion},True
kid_expresar_emocion_5518,soy feliz feliz,EXPRESAR_EMOCION,soy feliz feliz,soy {emocion},True
kid_jugar_29104,vamos a jugar,JUGAR,vamos a jugar,vamos a jugar,True
kid_saludar_10123,buenas tardes,SALUDAR,buenas tardes,buenas tardes,True
kid_pedir_ayuda_23607,este me ayudas,PEDIR_AYUDA,este me ayudas,me ayudas,True
kid_jugar_3560,quiero muñeca muñeca,JUGAR,quiero muñeca muñeca,quiero {juguete},True
kid_saludar_10029,hey mamá,SALUDAR,hey mamá,hey {persona},True
kid_comer_beber_23600,comer panamá,COMER_BEBER,comer panamá,comer {comida},True
kid_expresar_emocion_25473,este hoy estoy tranquilo,EXPRESAR_EMOCION,este hoy estoy tranquilo,hoy estoy {emocion},True
kid_jugar_22634,quiero rompecabezas,JUGAR,quiero rompecabezas,quiero {juguete},True
kid_pedir_ayuda_12331,eh no puedo saltar,PEDIR_AYUDA,eh no puedo saltar,no puedo {accion},True
kid_jugar_32465,quiero jugar,JUGAR,quiero jugar,quiero jugar,True
kid_pedir_ayuda_18262,eh ayuda mamá mamá,PEDIR_AYUDA,eh ayuda mamá mamá,ayuda {persona},True
kid_expresar_necesidad_13184,bueno tengo hambre,EXPRESAR_NECESIDAD,bueno tengo hambre,tengo {necesidad},True
kid_describir_dolor_18351,me pegué en brazo,DESCRIBIR_DOLOR,me pegué en brazo,me pegué en {parte_cuerpo},True
kid_comer_beber_27842,tengo hambre,COMER_BEBER,tengo hambre,tengo hambre,True
kid_expresar_emocion_5514,este estoy emocionado,EXPRESAR_EMOCION,este estoy emocionado,estoy {emocion},True
kid_expresar_necesidad_19598,busco comida,EXPRESAR_NECESIDAD,busco comida,busco {objeto},True
kid_agradecer_13217,muchas gracias,AGRADECER,muchas gracias,muchas gracias,True
kid_pedir_ayuda_22822,no puedo puedo leer,PEDIR_AYUDA,no puedo puedo leer,no puedo {accion},True
kid_comer_beber_23167,este comer comer comer,COMER_BEBER,este comer comer comer,comer {comida},True
kid_ir_lugar_16088,quiero ir al casa,IR_LUGAR,quiero ir al casa,quiero ir al {lugar},True
kid_jugar_35259,me gusta jugar puzzles,JUGAR,me gusta jugar puzzles,me gusta jugar {juego},True
kid_expresar_emocion_7021,estoy muy cansado,EXPRESAR_EMOCION,estoy muy cansado,estoy muy {emocion},True
kid_comer_beber_15426,tengo sed,COMER_BEBER,tengo sed,tengo sed,True
kid_comer_beber_11555,me da cereal,COMER_BEBER,me da cereal,me da {comida},True
kid_despedir_6485,adiós mamá,DESPEDIR,adiós mamá,adiós {persona},True
kid_saludar_13079,hola cómo estás,SALUDAR,hola cómo estás,hola cómo estás,True
kid_expresar_necesidad_11024,tengo hambre,EXPRESAR_NECESIDAD,tengo hambre,tengo {necesidad},True
kid_despedir_859,adiós tío,DESPEDIR,adiós tío,adiós {persona},True
kid_pedir_ayuda_13132,ayuda tía,PEDIR_AYUDA,ayuda tía,ayuda {persona},True
kid_jugar_9660,me gusta jugar jugar videojuegos,JUGAR,me gusta jugar jugar videojuegos,me gusta jugar {juego},True
kid_pedir_ayuda_12729,ayúdame por favor,PEDIR_AYUDA,ayúdame por favor,ayúdame,True
kid_saludar_22651,hola cómo estás,SALUDAR,hola cómo estás,hola cómo estás,True
kid_despedir_38184,este me voy,DESPEDIR,este me voy,me voy,True
kid_ir_lugar_24960,quiero ir al baño,IR_LUGAR,quiero ir al baño,quiero ir al {lugar},True
kid_describir_dolor_1768,me duele rodilla,DESCRIBIR_DOLOR,me duele rodilla,me duele {parte_cuerpo},True
kid_describir_dolor_12952,duele brazo,DESCRIBIR_DOLOR,duele brazo,duele {parte_cuerpo},True
kid_comer_beber_14878,quiero centro comercial por favor,COMER_BEBER,quiero centro comercial por favor,quiero {comida},True
kid_expresar_emocion_16547,estoy triste,EXPRESAR_EMOCION,estoy triste,estoy {emocion},True
kid_expresar_emocion_10364,me siento asustado,EXPRESAR_EMOCION,me siento asustado,me siento {emocion},True
kid_expresar_necesidad_36538,quiero dormir,EXPRESAR_NECESIDAD,quiero dormir,quiero {accion},True
kid_pedir_ayuda_35447,eh ayuda,PEDIR_AYUDA,eh ayuda,ayuda,True
kid_expresar_emocion_39746,este me siento entristecer,EXPRESAR_EMOCION,este me siento entristecer,me siento {emocion},True
kid_expresar_necesidad_9873,dame muñeca,EXPRESAR_NECESIDAD,dame muñeca,dame {objeto},True
kid_comer_beber_26640,quiero agua,COMER_BEBER,quiero agua,quiero agua,True
kid_comer_beber_38185,quiero quiero comer,COMER_BEBER,quiero quiero comer,quiero comer,True
kid_saludar_34055,bueno hola hermano cómo estás,SALUDAR,bueno hola hermano cómo estás,hola {persona} cómo estás,True
kid_jugar_2226,juguemos puzzles,JUGAR,juguemos puzzles,juguemos {juego},True
kid_jugar_4129,juguemos fútbol,JUGAR,juguemos fútbol,juguemos {juego},True
kid_agradecer_22146,gracias,AGRADECER,gracias,gracias,True
kid_expresar_emocion_25619,mm soy feliz navidad,EXPRESAR_EMOCION,mm soy feliz navidad,me siento {emocion},True
kid_despedir_21473,me voy,DESPEDIR,me voy,me voy,True
kid_expresar_emocion_254,hoy estoy feliz navidad,EXPRESAR_EMOCION,hoy estoy feliz navidad,hoy estoy {emocion},True
kid_ir_lugar_421,donde está parque,IR_LUGAR,donde está parque,donde está {lugar},True
kid_despedir_7588,mm adiós amiga,DESPEDIR,mm adiós amiga,adiós {persona},True
kid_expresar_emocion_39212,estoy muy contento,EXPRESAR_EMOCION,estoy muy contento,estoy muy {emocion},True
kid_expresar_emocion_17743,soy nervioso,EXPRESAR_EMOCION,soy nervioso,soy {emocion},True
kid_comer_beber_4150,quiero disfrutar,COMER_BEBER,quiero disfrutar,quiero {comida},True
kid_pedir_ayuda_25776,bueno ayuda,PEDIR_AYUDA,bueno ayuda,ayuda,True
kid_expresar_necesidad_5029,quiero estudiar,EXPRESAR_NECESIDAD,quiero estudiar,quiero {accion},True
kid_comer_beber_7408,quiero sandwich,COMER_BEBER,quiero sandwich,quiero {comida},True
kid_pedir_ayuda_38030,mm me ayudas,PEDIR_AYUDA,mm me ayudas,me ayudas,True
kid_describir_dolor_29347,duele espalda,DESCRIBIR_DOLOR,duele espalda,duele {parte_cuerpo},True
kid_saludar_333,este hola hermana cómo estás estás,SALUDAR,este hola hermana cómo estás estás,hola {persona} cómo estás,True
kid_expresar_necesidad_28008,tengo ganas de correr,EXPRESAR_NECESIDAD,tengo ganas de correr,tengo ganas de {accion},True
kid_comer_beber_27428,beber agua,COMER_BEBER,beber agua,beber {bebida},True
kid_expresar_necesidad_23195,dame juguete,EXPRESAR_NECESIDAD,dame juguete,dame {objeto},True
kid_pedir_ayuda_29749,ayúdame,PEDIR_AYUDA,ayúdame,ayúdame,True
kid_expresar_emocion_30064,estoy estoy muy emocionado,EXPRESAR_EMOCION,estoy estoy muy emocionado,estoy muy {emocion},True
kid_expresar_necesidad_2548,este quiero quiero pelota,EXPRESAR_NECESIDAD,este quiero quiero pelota,quiero {objeto},True
kid_despedir_17273,chau,DESPEDIR,chau,chau,True
kid_saludar_32229,hola hermana cómo estás,SALUDAR,hola hermana cómo estás,hola {persona} cómo estás,True
kid_jugar_14620,jugamos,JUGAR,jugamos,jugamos,True
kid_describir_dolor_15064,me lastimé dedo,DESCRIBIR_DOLOR,me lastimé dedo,me lastimé {parte_cuerpo},True
kid_describir_dolor_21949,duele rodilla,DESCRIBIR_DOLOR,duele rodilla,duele {parte_cuerpo},True
kid_expresar_necesidad_10173,este dame comida comida,EXPRESAR_NECESIDAD,este dame comida comida,dame {objeto},True
kid_describir_dolor_14666,me duele,DESCRIBIR_DOLOR,me duele,me duele,True
kid_describir_dolor_32900,tengo dolor,DESCRIBIR_DOLOR,tengo dolor,tengo dolor,True
kid_expresar_necesidad_15958,tengo hambre hambre,EXPRESAR_NECESIDAD,tengo hambre hambre,tengo {necesidad},True
kid_expresar_necesidad_38162,tengo frío,EXPRESAR_NECESIDAD,tengo frío,tengo {necesidad},True
kid_describir_dolor_17060,me duele rodilla,DESCRIBIR_DOLOR,me duele rodilla,me duele {parte_cuerpo},True
kid_jugar_32111,juego con peluche,JUGAR,juego con peluche,juego con {juguete},True
kid_saludar_33040,hola cómo estás,SALUDAR,hola cómo estás,hola cómo estás,True
kid_comer_beber_3003,eh comer centro comercial,COMER_BEBER,eh comer centro comercial,comer {comida},True
kid_expresar_emocion_19345,estoy muy tranquilo,EXPRESAR_EMOCION,estoy muy tranquilo,estoy muy {emocion},True
kid_describir_dolor_13492,duele brazo,DESCRIBIR_DOLOR,duele brazo,duele {parte_cuerpo},True
kid_jugar_23066,eh juguemos puzzles,JUGAR,eh juguemos puzzles,juguemos {juego},True
kid_jugar_7025,bueno jugar con auto,JUGAR,bueno jugar con auto,jugar con {juguete},True
kid_saludar_21682,hola amigo cómo estás,SALUDAR,hola amigo cómo estás,hola {persona} cómo estás,True
kid_pedir_ayuda_28251,ayuda por favor,PEDIR_AYUDA,ayuda por favor,ayuda por favor,True
kid_expresar_necesidad_21183,tengo ganas de dormir,EXPRESAR_NECESIDAD,tengo ganas de dormir,tengo ganas de {accion},True
kid_comer_beber_2380,bueno comer pizza,COMER_BEBER,bueno comer pizza,comer {comida},True
kid_pedir_ayuda_33267,bueno me ayudas,PEDIR_AYUDA,bueno me ayudas,me ayudas,True
kid_describir_dolor_27666,mm me lastimé cabeza,DESCRIBIR_DOLOR,mm me lastimé cabeza,me lastimé {parte_cuerpo},True
kid_describir_dolor_36173,duele pierna,DESCRIBIR_DOLOR,duele pierna,duele {parte_cuerpo},True
kid_jugar_36086,juego con rompecabezas,JUGAR,juego con rompecabezas,juego con {juguete},True
kid_expresar_necesidad_5535,donde está tablet,EXPRESAR_NECESIDAD,donde está tablet,donde está {objeto},True
kid_ir_lugar_6045,quiero ir al jardín,IR_LUGAR,quiero ir al jardín,quiero ir al {lugar},True
kid_ir_lugar_18452,busco parque,IR_LUGAR,busco parque,busco {lugar},True
kid_expresar_emocion_15349,me siento nervioso,EXPRESAR_EMOCION,me siento nervioso,me siento {emocion},True
kid_describir_dolor_9384,duele espalda,DESCRIBIR_DOLOR,duele espalda,duele {parte_cuerpo},True
kid_comer_beber_38906,quiero campana extractora,COMER_BEBER,quiero campana extractora,quiero {comida},True
kid_comer_beber_26369,quiero campanario,COMER_BEBER,quiero campanario,quiero {comida},True
kid_pedir_ayuda_37805,ayuda,PEDIR_AYUDA,ayuda,ayuda,True
kid_ir_lugar_6362,al plaza,IR_LUGAR,al plaza,al {lugar},True
kid_ir_lugar_14073,al parque,IR_LUGAR,al parque,al {lugar},True
kid_expresar_necesidad_34153,quiero agua agua,EXPRESAR_NECESIDAD,quiero agua agua,quiero {objeto},True
kid_comer_beber_31515,quiero chimpancé,COMER_BEBER,quiero chimpancé,quiero {comida},True
kid_comer_beber_11664,quiero agua,COMER_BEBER,quiero agua,quiero agua,True
kid_ir_lugar_12154,busco parque,IR_LUGAR,busco parque,busco {lugar},True
kid_ir_lugar_7386,busco escuela,IR_LUGAR,busco escuela,busco {lugar},True
kid_expresar_necesidad_26524,necesito necesito juguete,EXPRESAR_NECESIDAD,necesito necesito juguete,necesito {objeto},True
kid_saludar_36684,hola tío,SALUDAR,hola tío,hola {persona},True
kid_comer_beber_26105,más comercio,COMER_BEBER,más comercio,más {comida},True
kid_pedir_ayuda_34220,necesito ayuda,PEDIR_AYUDA,necesito ayuda,necesito ayuda,True
kid_comer_beber_31051,bueno tengo hambre hambre,COMER_BEBER,bueno tengo hambre hambre,tengo hambre,True
kid_despedir_5804,eh chau maestra,DESPEDIR,eh chau maestra,chau {persona},True
kid_despedir_32437,adiós,DESPEDIR,adiós,adiós,True
kid_pedir_ayuda_36373,no puedo dormir,PEDIR_AYUDA,no puedo dormir,no puedo {accion},True
kid_saludar_1100,hola,SALUDAR,hola,hola,True
kid_jugar_21306,me gusta jugar memoria,JUGAR,me gusta jugar memoria,me gusta jugar {juego},True
kid_expresar_emocion_10702,me pone feliz cumpleaños,EXPRESAR_EMOCION,me pone feliz cumpleaños,me pone {emocion},True
kid_agradecer_34994,te doy las gracias,AGRADECER,te doy las gracias,te doy las gracias,True
kid_describir_dolor_19474,me lastimé mano,DESCRIBIR_DOLOR,me lastimé mano,me lastimé {parte_cuerpo},True
kid_jugar_14550,juguemos escondidas,JUGAR,juguemos escondidas,juguemos {juego},True
kid_jugar_38126,quiero rompecabezas,JUGAR,quiero rompecabezas,quiero {juguete},True
kid_despedir_18217,chau tío,DESPEDIR,chau tío,chau {persona},True
kid_comer_beber_4756,beber agua,COMER_BEBER,beber agua,beber {bebida},True
kid_expresar_necesidad_25253,bueno me da comida,EXPRESAR_NECESIDAD,bueno me da comida,me da {objeto},True
kid_ir_lugar_10894,ir a cocina,IR_LUGAR,ir a cocina,ir a {lugar},True
kid_expresar_emocion_29836,mm soy tranquilo,EXPRESAR_EMOCION,mm soy tranquilo,soy {emocion},True
kid_expresar_necesidad_1710,mm donde donde está pelota,EXPRESAR_NECESIDAD,mm donde donde está pelota,donde está {objeto},True
kid_comer_beber_11735,comer galletas,COMER_BEBER,comer galletas,comer {comida},True
kid_describir_dolor_15218,me pegué en pierna,DESCRIBIR_DOLOR,me pegué en pierna,me pegué en {parte_cuerpo},True
kid_describir_dolor_17717,me pegué en brazo,DESCRIBIR_DOLOR,me pegué en brazo,me pegué en {parte_cuerpo},True
kid_jugar_18088,quiero quiero rompecabezas,JUGAR,quiero quiero rompecabezas,quiero {juguete},True
kid_pedir_ayuda_11296,eh no sé estudiar,PEDIR_AYUDA,eh no sé estudiar,no sé {accion},True
kid_saludar_36368,eh hola hola,SALUDAR,eh hola hola,hola,True
kid_saludar_10533,hola hermano asustado,SALUDAR,hola hermano asustado,hola {persona} {emocion},True
kid_comer_beber_814,este más helado,COMER_BEBER,este más helado,más {comida},True
kid_describir_dolor_2120,tengo tengo dolor,DESCRIBIR_DOLOR,tengo tengo dolor,tengo dolor,True
kid_saludar_18740,buenos días,SALUDAR,buenos días,buenos días,True
kid_expresar_emocion_22522,estoy feliz,EXPRESAR_EMOCION,estoy feliz,estoy {emocion},True
kid_expresar_emocion_32223,me pone feliz,EXPRESAR_EMOCION,me pone feliz,me pone {emocion},True
kid_comer_beber_34368,este tengo sed,COMER_BEBER,este tengo sed,tengo sed,True
kid_comer_beber_14299,mm quiero fruta,COMER_BEBER,mm quiero fruta,quiero {comida},True
kid_ir_lugar_11266,quiero ir al escuela,IR_LUGAR,quiero ir al escuela,quiero ir al {lugar},True
kid_jugar_1587,juego con muñeca,JUGAR,juego con muñeca,juego con {juguete},True
kid_jugar_23749,quiero jugar,JUGAR,quiero jugar,quiero jugar,True
kid_expresar_necesidad_26459,mm busco busco tablet,EXPRESAR_NECESIDAD,mm busco busco tablet,busco {objeto},True
kid_expresar_necesidad_36847,bueno quiero leer,EXPRESAR_NECESIDAD,bueno quiero leer,quiero {accion},True
kid_ir_lugar_8383,vamos al hospital,IR_LUGAR,vamos al hospital,vamos al {lugar},True
kid_expresar_necesidad_35395,quiero auto,EXPRESAR_NECESIDAD,quiero auto,quiero {objeto},True
kid_jugar_9040,quiero muñeca,JUGAR,quiero muñeca,quiero {juguete},True
kid_expresar_emocion_5129,me siento entristecer,EXPRESAR_EMOCION,me siento entristecer,me siento {emocion},True
kid_ir_lugar_39416,busco casa,IR_LUGAR,busco casa,busco {lugar},True
kid_expresar_necesidad_20752,dame pelota,EXPRESAR_NECESIDAD,dame pelota,dame {objeto},True
kid_comer_beber_3313,este quiero agua,COMER_BEBER,este quiero agua,quiero agua,True
kid_expresar_necesidad_38706,tengo sed,EXPRESAR_NECESIDAD,tengo sed,tengo {necesidad},True
kid_expresar_necesidad_37183,dame pelota,EXPRESAR_NECESIDAD,dame pelota,dame {objeto},True
kid_saludar_25081,hola papá,SALUDAR,hola papá,hola {persona},True
